"","InstNr","n()","min(moves)"
"1",1,25,6
"2",2,25,7
"3",3,25,8
"4",4,25,6
"5",5,25,9
"6",6,25,7
"7",7,25,7
"8",8,25,10
"9",9,25,9
"10",10,24,4
"11",11,25,11
"12",12,25,6
"13",13,24,11
"14",14,25,4
"15",15,25,7
"16",16,25,8
"17",17,24,7
"18",18,23,4
"19",19,25,6
"20",20,25,7
"21",21,25,7
"22",22,24,7
"23",23,25,6
"24",24,25,9
"25",25,24,5
"26",26,25,9
"27",27,25,7
"28",28,25,6
"29",29,25,8
"30",30,25,5
"31",31,24,9
"32",32,24,7
"33",33,25,7
"34",34,24,8
"35",35,24,6
"36",36,25,8
"37",37,25,10
"38",38,25,3
"39",39,24,5
"40",40,25,5
