"","InstNr","n()","min(moves)"
"1",1,25,16
"2",2,25,10
"3",3,25,13
"4",4,25,8
"5",5,25,16
"6",6,25,13
"7",7,25,11
"8",8,24,15
"9",9,25,12
"10",10,25,10
"11",11,25,9
"12",12,25,11
"13",13,25,9
"14",14,25,14
"15",15,25,15
"16",16,25,13
"17",17,25,17
"18",18,25,12
"19",19,25,14
"20",20,25,14
"21",21,25,15
"22",22,25,15
"23",23,25,15
"24",24,25,16
"25",25,25,11
"26",26,25,14
"27",27,25,10
"28",28,25,9
"29",29,25,13
"30",30,25,17
"31",31,25,13
"32",32,24,10
"33",33,25,13
"34",34,25,16
"35",35,25,15
"36",36,25,11
"37",37,20,14
"38",38,25,14
"39",39,25,14
"40",40,25,11
