"","InstNr","n()","min(moves)"
"1",1,35,7
"2",2,34,10
"3",3,35,9
"4",4,35,8
"5",5,35,12
"6",6,35,9
"7",7,35,12
"8",8,35,9
"9",9,35,11
"10",10,35,7
"11",11,35,9
"12",12,35,7
"13",13,35,10
"14",14,35,9
"15",15,35,6
"16",16,35,9
"17",17,35,10
"18",18,35,7
"19",19,35,11
"20",20,35,7
"21",21,34,9
"22",22,35,14
"23",23,35,8
"24",24,35,6
"25",25,35,9
"26",26,35,11
"27",27,35,13
"28",28,35,8
"29",29,35,12
"30",30,35,10
"31",31,34,8
"32",32,35,10
"33",33,35,13
"34",34,35,9
"35",35,35,11
"36",36,35,7
"37",37,35,8
"38",38,35,11
"39",39,34,6
"40",40,35,9
