"","InstNr","n()","min(moves)","max(moves)"
"1",1,20,5,5
"2",2,20,3,3
"3",3,19,7,7
"4",4,20,5,5
"5",5,20,6,6
"6",6,20,7,7
"7",7,20,10,10
"8",8,20,6,6
"9",9,20,4,4
"10",10,20,10,10
"11",11,20,7,7
"12",12,20,7,7
"13",13,20,3,3
"14",14,20,7,7
"15",15,20,5,5
"16",16,20,8,8
"17",17,20,6,6
"18",18,20,8,8
"19",19,20,6,6
"20",20,20,5,5
"21",21,20,7,7
"22",22,20,6,6
"23",23,20,4,4
"24",24,20,6,6
"25",25,20,7,7
"26",26,17,4,4
"27",27,20,2,2
"28",28,20,7,8
"29",29,19,9,9
"30",30,20,6,6
"31",31,20,7,7
"32",32,20,7,7
"33",33,20,9,9
"34",34,20,7,7
"35",35,19,5,5
"36",36,20,8,8
"37",37,20,3,3
"38",38,20,5,5
"39",39,20,6,6
"40",40,20,7,7
