../data/data3-3-4.dat   3   5   9           4       2     0
../data/data3-3-4.dat   3   5   9           4       2     0
../data/data3-3-4.dat   3   5   9           4       2     0
../data/data3-3-4.dat   3   5   9           4      -1     0
../data/data3-3-4.dat   3   5   9           4      -1     0
../data/data3-3-4.dat   3   5   9           4      -1     0
../data/data3-3-4.dat   3   5   9           4      -1     0
../data/data3-3-4.dat   3   5   9           4      -1     0
../data/data3-3-5.dat   3   5   9           1       1     0
../data/data3-3-5.dat   3   5   9           1       1     0
../data/data3-3-5.dat   3   5   9           1       1     0
../data/data3-3-5.dat   3   5   9           1       1     0
../data/data3-3-5.dat   3   5   9           1       1     0
../data/data3-3-5.dat   3   5   9           1       2     0
../data/data3-3-5.dat   3   5   9           1       2     0
../data/data3-3-5.dat   3   5   9           1       2     0
../data/data3-3-5.dat   3   5   9           1       2     0
../data/data3-3-5.dat   3   5   9           1       2     0
../data/data3-3-5.dat   3   5   9           1      -1     0
../data/data3-3-5.dat   3   5   9           0      -1  -999
../data/data3-3-5.dat   3   5   9           0      -1  -999
../data/data3-3-5.dat   3   5   9           1      -1     0
../data/data3-3-5.dat   3   5   9           0      -1  -999
../data/data3-3-6.dat   3   5   9           6       1     0
../data/data3-3-6.dat   3   5   9           6       1     0
../data/data3-3-6.dat   3   5   9           6       1     0
../data/data3-3-6.dat   3   5   9           6       1     0
../data/data3-3-6.dat   3   5   9           6       1     0
../data/data3-3-6.dat   3   5   9           6       2     0
../data/data3-3-6.dat   3   5   9           6       2     0
../data/data3-3-6.dat   3   5   9           6       2     0
../data/data3-3-6.dat   3   5   9           6       2     0
../data/data3-3-6.dat   3   5   9           6       2     0
../data/data3-3-6.dat   3   5   9           6      -1     0
../data/data3-3-6.dat   3   5   9           6      -1     0
../data/data3-3-6.dat   3   5   9           6      -1     0
../data/data3-3-6.dat   3   5   9           6      -1     0
../data/data3-3-6.dat   3   5   9           6      -1     0
../data/data3-3-7.dat   3   5   9           6       1     0
../data/data3-3-7.dat   3   5   9           6       1     0
../data/data3-3-7.dat   3   5   9           6       1     0
../data/data3-3-7.dat   3   5   9           6       1     0
../data/data3-3-7.dat   3   5   9           6       1     0
../data/data3-3-7.dat   3   5   9           6       2     0
../data/data3-3-7.dat   3   5   9           6       2     0
../data/data3-3-7.dat   3   5   9           6       2     0
../data/data3-3-7.dat   3   5   9           6       2     0
../data/data3-3-7.dat   3   5   9           6       2     0
../data/data3-3-7.dat   3   5   9           6      -1     0
../data/data3-3-7.dat   3   5   9           6      -1     0
../data/data3-3-7.dat   3   5   9           6      -1     0
../data/data3-3-7.dat   3   5   9           6      -1     0
../data/data3-3-7.dat   3   5   9           6      -1     0
../data/data3-3-8.dat   3   5   9           2       1     0
../data/data3-3-8.dat   3   5   9           2       1     0
../data/data3-3-8.dat   3   5   9           2       1     0
../data/data3-3-8.dat   3   5   9           2       1     0
../data/data3-3-8.dat   3   5   9           2       1     0
../data/data3-3-8.dat   3   5   9           2       2     0
../data/data3-3-8.dat   3   5   9           2       2     0
../data/data3-3-8.dat   3   5   9           2       2     0
../data/data3-3-8.dat   3   5   9           2       2     0
../data/data3-3-8.dat   3   5   9           2       2     0
../data/data3-3-8.dat   3   5   9           2      -1     0
../data/data3-3-8.dat   3   5   9           2      -1     0
../data/data3-3-8.dat   3   5   9           2      -1     0
../data/data3-3-8.dat   3   5   9           2      -1     0
../data/data3-3-8.dat   3   5   9           2      -1     0
../data/data3-3-9.dat   3   5   9           7       1     0
../data/data3-3-9.dat   3   5   9           7       1 0.004
../data/data3-3-9.dat   3   5   9           7       1     0
../data/data3-3-9.dat   3   5   9           7       1     0
../data/data3-3-9.dat   3   5   9           7       1     0
../data/data3-3-9.dat   3   5   9           8       2     0
../data/data3-3-9.dat   3   5   9           8       2     0
../data/data3-3-9.dat   3   5   9           8       2     0
../data/data3-3-9.dat   3   5   9           8       2     0
../data/data3-3-9.dat   3   5   9           8       2     0
../data/data3-3-9.dat   3   5   9           8      -1     0
../data/data3-3-9.dat   3   5   9           8      -1     0
../data/data3-3-9.dat   3   5   9           8      -1     0
../data/data3-3-9.dat   3   5   9           8      -1     0
../data/data3-3-9.dat   3   5   9           8      -1     0
../data/data3-3-10.dat   3   5   9           5       1     0
../data/data3-3-10.dat   3   5   9           5       1     0
../data/data3-3-10.dat   3   5   9           5       1     0
../data/data3-3-10.dat   3   5   9           5       1     0
../data/data3-3-10.dat   3   5   9           5       1     0
../data/data3-3-10.dat   3   5   9           5       2     0
../data/data3-3-10.dat   3   5   9           5       2     0
../data/data3-3-10.dat   3   5   9           5       2     0
../data/data3-3-10.dat   3   5   9           5       2     0
../data/data3-3-10.dat   3   5   9           5       2     0
../data/data3-3-10.dat   3   5   9           5      -1     0
../data/data3-3-10.dat   3   5   9           5      -1     0
../data/data3-3-10.dat   3   5   9           5      -1     0
../data/data3-3-10.dat   3   5   9           5      -1     0
../data/data3-3-10.dat   3   5   9           5      -1     0
../data/data3-3-11.dat   3   5   9           3       1     0
../data/data3-3-11.dat   3   5   9           3       1     0
../data/data3-3-11.dat   3   5   9           3       1     0
../data/data3-3-11.dat   3   5   9           3       1     0
../data/data3-3-11.dat   3   5   9           3       1     0
../data/data3-3-11.dat   3   5   9           3       2     0
../data/data3-3-11.dat   3   5   9           3       2     0
../data/data3-3-11.dat   3   5   9           3       2     0
../data/data3-3-11.dat   3   5   9           3       2     0
../data/data3-3-11.dat   3   5   9           3       2     0
../data/data3-3-11.dat   3   5   9           3      -1     0
../data/data3-3-11.dat   3   5   9           3      -1     0
../data/data3-3-11.dat   3   5   9           3      -1     0
../data/data3-3-11.dat   3   5   9           3      -1     0
../data/data3-3-11.dat   3   5   9           3      -1     0
../data/data3-3-12.dat   3   5   9           5       1     0
../data/data3-3-12.dat   3   5   9           5       1     0
../data/data3-3-12.dat   3   5   9           5       1     0
../data/data3-3-12.dat   3   5   9           5       1     0
../data/data3-3-12.dat   3   5   9           5       1     0
../data/data3-3-12.dat   3   5   9           5       2     0
../data/data3-3-12.dat   3   5   9           5       2     0
../data/data3-3-12.dat   3   5   9           5       2     0
../data/data3-3-12.dat   3   5   9           5       2     0
../data/data3-3-12.dat   3   5   9           5       2     0
../data/data3-3-12.dat   3   5   9           5      -1     0
../data/data3-3-12.dat   3   5   9           5      -1     0
../data/data3-3-12.dat   3   5   9           5      -1     0
../data/data3-3-12.dat   3   5   9           5      -1     0
../data/data3-3-12.dat   3   5   9           5      -1     0
../data/data3-3-13.dat   3   5   9           8       1     0
../data/data3-3-13.dat   3   5   9           8       1     0
../data/data3-3-13.dat   3   5   9           8       1     0
../data/data3-3-13.dat   3   5   9           8       1     0
../data/data3-3-13.dat   3   5   9           8       1     0
../data/data3-3-13.dat   3   5   9           8       2     0
../data/data3-3-13.dat   3   5   9           8       2     0
../data/data3-3-13.dat   3   5   9           8       2     0
../data/data3-3-13.dat   3   5   9           8       2     0
../data/data3-3-13.dat   3   5   9           8       2     0
../data/data3-3-13.dat   3   5   9           8      -1     0
../data/data3-3-13.dat   3   5   9           8      -1     0
../data/data3-3-13.dat   3   5   9           8      -1     0
../data/data3-3-13.dat   3   5   9           8      -1     0
../data/data3-3-13.dat   3   5   9           8      -1     0
../data/data3-3-14.dat   3   5   9           7       1     0
../data/data3-3-14.dat   3   5   9           7       1     0
../data/data3-3-14.dat   3   5   9           7       1     0
../data/data3-3-14.dat   3   5   9           7       1     0
../data/data3-3-14.dat   3   5   9           7       1     0
../data/data3-3-14.dat   3   5   9           7       2     0
../data/data3-3-14.dat   3   5   9           7       2     0
../data/data3-3-14.dat   3   5   9           7       2     0
../data/data3-3-14.dat   3   5   9           7       2     0
../data/data3-3-14.dat   3   5   9           7       2     0
../data/data3-3-14.dat   3   5   9           7      -1     0
../data/data3-3-14.dat   3   5   9           7      -1     0
../data/data3-3-14.dat   3   5   9           7      -1     0
../data/data3-3-14.dat   3   5   9           7      -1     0
../data/data3-3-14.dat   3   5   9           7      -1     0
../data/data3-3-15.dat   3   5   9           6       1     0
../data/data3-3-15.dat   3   5   9           6       1     0
../data/data3-3-15.dat   3   5   9           6       1     0
../data/data3-3-15.dat   3   5   9           6       1     0
../data/data3-3-15.dat   3   5   9           6       1     0
../data/data3-3-15.dat   3   5   9           7       2     0
../data/data3-3-15.dat   3   5   9           7       2     0
../data/data3-3-15.dat   3   5   9           7       2     0
../data/data3-3-15.dat   3   5   9           7       2     0
../data/data3-3-15.dat   3   5   9           7       2     0
../data/data3-3-15.dat   3   5   9           7      -1     0
../data/data3-3-15.dat   3   5   9           7      -1     0
../data/data3-3-15.dat   3   5   9           7      -1     0
../data/data3-3-15.dat   3   5   9           7      -1     0
../data/data3-3-15.dat   3   5   9           7      -1     0
../data/data3-3-16.dat   3   5   9           7       1     0
../data/data3-3-16.dat   3   5   9           7       1     0
../data/data3-3-16.dat   3   5   9           7       1     0
../data/data3-3-16.dat   3   5   9           7       1     0
../data/data3-3-16.dat   3   5   9           7       1     0
../data/data3-3-16.dat   3   5   9           7       2     0
../data/data3-3-16.dat   3   5   9           7       2     0
../data/data3-3-16.dat   3   5   9           7       2     0
../data/data3-3-16.dat   3   5   9           7       2     0
../data/data3-3-16.dat   3   5   9           7       2     0
../data/data3-3-16.dat   3   5   9           7      -1     0
../data/data3-3-16.dat   3   5   9           7      -1     0
../data/data3-3-16.dat   3   5   9           7      -1     0
../data/data3-3-16.dat   3   5   9           7      -1     0
../data/data3-3-16.dat   3   5   9           7      -1     0
../data/data3-3-17.dat   3   5   9           5       1     0
../data/data3-3-17.dat   3   5   9           5       1     0
../data/data3-3-17.dat   3   5   9           5       1     0
../data/data3-3-17.dat   3   5   9           5       1     0
../data/data3-3-17.dat   3   5   9           5       1     0
../data/data3-3-17.dat   3   5   9           5       2     0
../data/data3-3-17.dat   3   5   9           5       2     0
../data/data3-3-17.dat   3   5   9           5       2     0
../data/data3-3-17.dat   3   5   9           5       2     0
../data/data3-3-17.dat   3   5   9           5       2     0
../data/data3-3-17.dat   3   5   9           5      -1     0
../data/data3-3-17.dat   3   5   9           5      -1     0
../data/data3-3-17.dat   3   5   9           5      -1     0
../data/data3-3-17.dat   3   5   9           5      -1     0
../data/data3-3-17.dat   3   5   9           5      -1     0
../data/data3-3-18.dat   3   5   9           2       1     0
../data/data3-3-18.dat   3   5   9           2       1     0
../data/data3-3-18.dat   3   5   9           2       1     0
../data/data3-3-18.dat   3   5   9           2       1     0
../data/data3-3-18.dat   3   5   9           2       1     0
../data/data3-3-18.dat   3   5   9           2       2     0
../data/data3-3-18.dat   3   5   9           2       2     0
../data/data3-3-18.dat   3   5   9           2       2     0
../data/data3-3-18.dat   3   5   9           2       2     0
../data/data3-3-18.dat   3   5   9           0       2  -999
../data/data3-3-18.dat   3   5   9           2      -1     0
../data/data3-3-18.dat   3   5   9           2      -1     0
../data/data3-3-18.dat   3   5   9           2      -1     0
../data/data3-3-18.dat   3   5   9           2      -1     0
../data/data3-3-18.dat   3   5   9           2      -1     0
../data/data3-3-19.dat   3   5   9           8       1     0
../data/data3-3-19.dat   3   5   9           8       1     0
../data/data3-3-19.dat   3   5   9           8       1     0
../data/data3-3-19.dat   3   5   9           8       1     0
../data/data3-3-19.dat   3   5   9           8       1     0
../data/data3-3-19.dat   3   5   9           8       2     0
../data/data3-3-19.dat   3   5   9           8       2     0
../data/data3-3-19.dat   3   5   9           8       2     0
../data/data3-3-19.dat   3   5   9           8       2     0
../data/data3-3-19.dat   3   5   9           8       2     0
../data/data3-3-19.dat   3   5   9           8      -1     0
../data/data3-3-19.dat   3   5   9           8      -1     0
../data/data3-3-19.dat   3   5   9           8      -1     0
../data/data3-3-19.dat   3   5   9           8      -1     0
../data/data3-3-19.dat   3   5   9           8      -1     0
../data/data3-3-20.dat   3   5   9           7       1     0
../data/data3-3-20.dat   3   5   9           7       1     0
../data/data3-3-20.dat   3   5   9           7       1     0
../data/data3-3-20.dat   3   5   9           7       1     0
../data/data3-3-20.dat   3   5   9           7       1     0
../data/data3-3-20.dat   3   5   9           7       2     0
../data/data3-3-20.dat   3   5   9           7       2     0
../data/data3-3-20.dat   3   5   9           7       2     0
../data/data3-3-20.dat   3   5   9           7       2     0
../data/data3-3-20.dat   3   5   9           7       2     0
../data/data3-3-20.dat   3   5   9           7      -1     0
../data/data3-3-20.dat   3   5   9           7      -1     0
../data/data3-3-20.dat   3   5   9           7      -1     0
../data/data3-3-20.dat   3   5   9           7      -1     0
../data/data3-3-20.dat   3   5   9           7      -1     0
../data/data3-3-21.dat   3   5   9           7       1     0
../data/data3-3-21.dat   3   5   9           7       1     0
../data/data3-3-21.dat   3   5   9           7       1     0
../data/data3-3-21.dat   3   5   9           7       1     0
../data/data3-3-21.dat   3   5   9           0       1  -999
../data/data3-3-21.dat   3   5   9           7       2     0
../data/data3-3-21.dat   3   5   9           7       2     0
../data/data3-3-21.dat   3   5   9           7       2     0
../data/data3-3-21.dat   3   5   9           7       2     0
../data/data3-3-21.dat   3   5   9           7       2     0
../data/data3-3-21.dat   3   5   9           7      -1     0
../data/data3-3-21.dat   3   5   9           7      -1     0
../data/data3-3-21.dat   3   5   9           7      -1     0
../data/data3-3-21.dat   3   5   9           7      -1     0
../data/data3-3-21.dat   3   5   9           7      -1     0
../data/data3-3-22.dat   3   5   9           4       1     0
../data/data3-3-22.dat   3   5   9           4       1     0
../data/data3-3-22.dat   3   5   9           4       1     0
../data/data3-3-22.dat   3   5   9           4       1     0
../data/data3-3-22.dat   3   5   9           4       1     0
../data/data3-3-22.dat   3   5   9           4       2     0
../data/data3-3-22.dat   3   5   9           4       2     0
../data/data3-3-22.dat   3   5   9           4       2     0
../data/data3-3-22.dat   3   5   9           4       2     0
../data/data3-3-22.dat   3   5   9           4       2     0
../data/data3-3-22.dat   3   5   9           4      -1     0
../data/data3-3-22.dat   3   5   9           4      -1     0
../data/data3-3-22.dat   3   5   9           4      -1     0
../data/data3-3-22.dat   3   5   9           4      -1     0
../data/data3-3-22.dat   3   5   9           4      -1     0
../data/data3-3-23.dat   3   5   9           6       1     0
../data/data3-3-23.dat   3   5   9           6       1     0
../data/data3-3-23.dat   3   5   9           6       1     0
../data/data3-3-23.dat   3   5   9           6       1     0
../data/data3-3-23.dat   3   5   9           6       1     0
../data/data3-3-23.dat   3   5   9           6       2     0
../data/data3-3-23.dat   3   5   9           6       2     0
../data/data3-3-23.dat   3   5   9           6       2     0
../data/data3-3-23.dat   3   5   9           6       2     0
../data/data3-3-23.dat   3   5   9           6       2     0
../data/data3-3-23.dat   3   5   9           6      -1     0
../data/data3-3-23.dat   3   5   9           6      -1     0
../data/data3-3-23.dat   3   5   9           6      -1     0
../data/data3-3-23.dat   3   5   9           6      -1     0
../data/data3-3-23.dat   3   5   9           6      -1     0
../data/data3-3-24.dat   3   5   9           6       1     0
../data/data3-3-24.dat   3   5   9           6       1     0
../data/data3-3-24.dat   3   5   9           6       1     0
../data/data3-3-24.dat   3   5   9           6       1     0
../data/data3-3-24.dat   3   5   9           6       1     0
../data/data3-3-24.dat   3   5   9           6       2     0
../data/data3-3-24.dat   3   5   9           6       2     0
../data/data3-3-24.dat   3   5   9           6       2     0
../data/data3-3-24.dat   3   5   9           6       2     0
../data/data3-3-24.dat   3   5   9           6       2     0
../data/data3-3-24.dat   3   5   9           6      -1     0
../data/data3-3-24.dat   3   5   9           6      -1     0
../data/data3-3-24.dat   3   5   9           6      -1     0
../data/data3-3-24.dat   3   5   9           6      -1     0
../data/data3-3-24.dat   3   5   9           6      -1     0
../data/data3-3-25.dat   3   5   9           4       1     0
../data/data3-3-25.dat   3   5   9           4       1     0
../data/data3-3-25.dat   3   5   9           4       1     0
../data/data3-3-25.dat   3   5   9           4       1     0
../data/data3-3-25.dat   3   5   9           4       1     0
../data/data3-3-25.dat   3   5   9           4       2     0
../data/data3-3-25.dat   3   5   9           4       2     0
../data/data3-3-25.dat   3   5   9           4       2     0
../data/data3-3-25.dat   3   5   9           4       2     0
../data/data3-3-25.dat   3   5   9           4       2     0
../data/data3-3-25.dat   3   5   9           4      -1     0
../data/data3-3-25.dat   3   5   9           4      -1     0
../data/data3-3-25.dat   3   5   9           4      -1     0
../data/data3-3-25.dat   3   5   9           4      -1     0
../data/data3-3-25.dat   3   5   9           4      -1     0
../data/data3-3-26.dat   3   5   9           4       1     0
../data/data3-3-26.dat   3   5   9           4       1     0
../data/data3-3-26.dat   3   5   9           4       1     0
../data/data3-3-26.dat   3   5   9           4       1     0
../data/data3-3-26.dat   3   5   9           4       1     0
../data/data3-3-26.dat   3   5   9           4       2     0
../data/data3-3-26.dat   3   5   9           4       2     0
../data/data3-3-26.dat   3   5   9           4       2     0
../data/data3-3-26.dat   3   5   9           4       2     0
../data/data3-3-26.dat   3   5   9           4       2     0
../data/data3-3-26.dat   3   5   9           4      -1     0
../data/data3-3-26.dat   3   5   9           4      -1     0
../data/data3-3-26.dat   3   5   9           4      -1     0
../data/data3-3-26.dat   3   5   9           0      -1  -999
../data/data3-3-26.dat   3   5   9           4      -1     0
../data/data3-3-27.dat   3   5   9           5       1     0
../data/data3-3-27.dat   3   5   9           5       1     0
../data/data3-3-27.dat   3   5   9           5       1     0
../data/data3-3-27.dat   3   5   9           5       1     0
../data/data3-3-27.dat   3   5   9           5       1     0
../data/data3-3-27.dat   3   5   9           5       2     0
../data/data3-3-27.dat   3   5   9           5       2     0
../data/data3-3-27.dat   3   5   9           5       2     0
../data/data3-3-27.dat   3   5   9           5       2     0
../data/data3-3-27.dat   3   5   9           5       2     0
../data/data3-3-27.dat   3   5   9           5      -1     0
../data/data3-3-27.dat   3   5   9           5      -1     0
../data/data3-3-27.dat   3   5   9           5      -1     0
../data/data3-3-27.dat   3   5   9           5      -1     0
../data/data3-3-27.dat   3   5   9           5      -1     0
../data/data3-3-28.dat   3   5   9           5       1     0
../data/data3-3-28.dat   3   5   9           5       1     0
../data/data3-3-28.dat   3   5   9           5       1     0
../data/data3-3-28.dat   3   5   9           5       1     0
../data/data3-3-28.dat   3   5   9           5       1     0
../data/data3-3-28.dat   3   5   9           5       2     0
../data/data3-3-28.dat   3   5   9           5       2     0
../data/data3-3-28.dat   3   5   9           5       2     0
../data/data3-3-28.dat   3   5   9           5       2     0
../data/data3-3-28.dat   3   5   9           5       2     0
../data/data3-3-28.dat   3   5   9           5      -1     0
../data/data3-3-28.dat   3   5   9           5      -1     0
../data/data3-3-28.dat   3   5   9           5      -1     0
../data/data3-3-28.dat   3   5   9           5      -1     0
../data/data3-3-28.dat   3   5   9           5      -1     0
../data/data3-3-29.dat   3   5   9           7       1     0
../data/data3-3-29.dat   3   5   9           7       1     0
../data/data3-3-29.dat   3   5   9           7       1     0
../data/data3-3-29.dat   3   5   9           7       1     0
../data/data3-3-29.dat   3   5   9           7       1     0
../data/data3-3-29.dat   3   5   9           7       2     0
../data/data3-3-29.dat   3   5   9           7       2     0
../data/data3-3-29.dat   3   5   9           7       2     0
../data/data3-3-29.dat   3   5   9           7       2     0
../data/data3-3-29.dat   3   5   9           7       2     0
../data/data3-3-29.dat   3   5   9           7      -1     0
../data/data3-3-29.dat   3   5   9           7      -1     0
../data/data3-3-29.dat   3   5   9           7      -1     0
../data/data3-3-29.dat   3   5   9           7      -1     0
../data/data3-3-29.dat   3   5   9           7      -1     0
../data/data3-3-30.dat   3   5   9           6       1     0
../data/data3-3-30.dat   3   5   9           6       1     0
../data/data3-3-30.dat   3   5   9           6       1     0
../data/data3-3-30.dat   3   5   9           6       1     0
../data/data3-3-30.dat   3   5   9           6       1     0
../data/data3-3-30.dat   3   5   9           6       2     0
../data/data3-3-30.dat   3   5   9           6       2     0
../data/data3-3-30.dat   3   5   9           6       2     0
../data/data3-3-30.dat   3   5   9           6       2     0
../data/data3-3-30.dat   3   5   9           6       2     0
../data/data3-3-30.dat   3   5   9           6      -1     0
../data/data3-3-30.dat   3   5   9           6      -1     0
../data/data3-3-30.dat   3   5   9           6      -1     0
../data/data3-3-30.dat   3   5   9           6      -1     0
../data/data3-3-30.dat   3   5   9           6      -1     0
../data/data3-3-31.dat   3   5   9           5       1     0
../data/data3-3-31.dat   3   5   9           5       1     0
../data/data3-3-31.dat   3   5   9           5       1     0
../data/data3-3-31.dat   3   5   9           5       1     0
../data/data3-3-31.dat   3   5   9           5       1     0
../data/data3-3-31.dat   3   5   9           5       2     0
../data/data3-3-31.dat   3   5   9           5       2     0
../data/data3-3-31.dat   3   5   9           5       2     0
../data/data3-3-31.dat   3   5   9           5       2     0
../data/data3-3-31.dat   3   5   9           5       2     0
../data/data3-3-31.dat   3   5   9           5      -1     0
../data/data3-3-31.dat   3   5   9           5      -1     0
../data/data3-3-31.dat   3   5   9           5      -1     0
../data/data3-3-31.dat   3   5   9           5      -1     0
../data/data3-3-31.dat   3   5   9           5      -1     0
../data/data3-3-32.dat   3   5   9           2       1     0
../data/data3-3-32.dat   3   5   9           2       1     0
../data/data3-3-32.dat   3   5   9           2       1     0
../data/data3-3-32.dat   3   5   9           0       1  -999
../data/data3-3-32.dat   3   5   9           2       1     0
../data/data3-3-32.dat   3   5   9           0       2  -999
../data/data3-3-32.dat   3   5   9           2       2     0
../data/data3-3-32.dat   3   5   9           2       2     0
../data/data3-3-32.dat   3   5   9           2       2     0
../data/data3-3-32.dat   3   5   9           2       2     0
../data/data3-3-32.dat   3   5   9           2      -1     0
../data/data3-3-32.dat   3   5   9           2      -1     0
../data/data3-3-32.dat   3   5   9           2      -1     0
../data/data3-3-32.dat   3   5   9           0      -1  -999
../data/data3-3-32.dat   3   5   9           2      -1     0
../data/data3-3-33.dat   3   5   9           3       1     0
../data/data3-3-33.dat   3   5   9           3       1     0
../data/data3-3-33.dat   3   5   9           3       1     0
../data/data3-3-33.dat   3   5   9           3       1     0
../data/data3-3-33.dat   3   5   9           3       1     0
../data/data3-3-33.dat   3   5   9           3       2     0
../data/data3-3-33.dat   3   5   9           3       2     0
../data/data3-3-33.dat   3   5   9           3       2     0
../data/data3-3-33.dat   3   5   9           0       2  -999
../data/data3-3-33.dat   3   5   9           3       2     0
../data/data3-3-33.dat   3   5   9           3      -1     0
../data/data3-3-33.dat   3   5   9           3      -1     0
../data/data3-3-33.dat   3   5   9           3      -1     0
../data/data3-3-33.dat   3   5   9           3      -1     0
../data/data3-3-33.dat   3   5   9           3      -1     0
../data/data3-3-34.dat   3   5   9           6       1     0
../data/data3-3-34.dat   3   5   9           6       1     0
../data/data3-3-34.dat   3   5   9           6       1     0
../data/data3-3-34.dat   3   5   9           6       1     0
../data/data3-3-34.dat   3   5   9           6       1     0
../data/data3-3-34.dat   3   5   9           6       2     0
../data/data3-3-34.dat   3   5   9           6       2     0
../data/data3-3-34.dat   3   5   9           6       2     0
../data/data3-3-34.dat   3   5   9           6       2     0
../data/data3-3-34.dat   3   5   9           6       2     0
../data/data3-3-34.dat   3   5   9           6      -1     0
../data/data3-3-34.dat   3   5   9           6      -1     0
../data/data3-3-34.dat   3   5   9           6      -1     0
../data/data3-3-34.dat   3   5   9           6      -1     0
../data/data3-3-34.dat   3   5   9           6      -1     0
../data/data3-3-35.dat   3   5   9           5       1     0
../data/data3-3-35.dat   3   5   9           5       1     0
../data/data3-3-35.dat   3   5   9           5       1     0
../data/data3-3-35.dat   3   5   9           5       1     0
../data/data3-3-35.dat   3   5   9           5       1     0
../data/data3-3-35.dat   3   5   9           5       2     0
../data/data3-3-35.dat   3   5   9           5       2     0
../data/data3-3-35.dat   3   5   9           5       2     0
../data/data3-3-35.dat   3   5   9           5       2     0
../data/data3-3-35.dat   3   5   9           0       2  -999
../data/data3-3-35.dat   3   5   9           5      -1     0
../data/data3-3-35.dat   3   5   9           5      -1     0
../data/data3-3-35.dat   3   5   9           5      -1     0
../data/data3-3-35.dat   3   5   9           5      -1     0
../data/data3-3-35.dat   3   5   9           5      -1     0
../data/data3-3-36.dat   3   5   9           7       1     0
../data/data3-3-36.dat   3   5   9           7       1     0
../data/data3-3-36.dat   3   5   9           7       1     0
../data/data3-3-36.dat   3   5   9           7       1     0
../data/data3-3-36.dat   3   5   9           7       1     0
../data/data3-3-36.dat   3   5   9           7       2     0
../data/data3-3-36.dat   3   5   9           7       2     0
../data/data3-3-36.dat   3   5   9           7       2     0
../data/data3-3-36.dat   3   5   9           7       2     0
../data/data3-3-36.dat   3   5   9           7       2     0
../data/data3-3-36.dat   3   5   9           7      -1     0
../data/data3-3-36.dat   3   5   9           7      -1     0
../data/data3-3-36.dat   3   5   9           7      -1     0
../data/data3-3-36.dat   3   5   9           7      -1     0
../data/data3-3-36.dat   3   5   9           7      -1     0
../data/data3-3-37.dat   3   5   9           5       1     0
../data/data3-3-37.dat   3   5   9           5       1     0
../data/data3-3-37.dat   3   5   9           5       1     0
../data/data3-3-37.dat   3   5   9           5       1     0
../data/data3-3-37.dat   3   5   9           5       1     0
../data/data3-3-37.dat   3   5   9           5       2     0
../data/data3-3-37.dat   3   5   9           5       2     0
../data/data3-3-37.dat   3   5   9           5       2     0
../data/data3-3-37.dat   3   5   9           5       2     0
../data/data3-3-37.dat   3   5   9           5       2     0
../data/data3-3-37.dat   3   5   9           5      -1     0
../data/data3-3-37.dat   3   5   9           5      -1     0
