../v3/data/data3-8-1.dat   8   5  24           8       4     0
../v3/data/data3-8-2.dat   8   5  24          10       4 0.196
../v3/data/data3-8-3.dat   8   5  24           9       4     0
../v3/data/data3-8-4.dat   8   5  24          10       4     0
../v3/data/data3-8-5.dat   8   5  24          13       4     0
../v3/data/data3-8-6.dat   8   5  24           9       4     0
../v3/data/data3-8-7.dat   8   5  24          13       4     0
../v3/data/data3-8-8.dat   8   5  24          12       4     0
../v3/data/data3-8-9.dat   8   5  24           9       4     0
../v3/data/data3-8-10.dat   8   5  24          10       4     0
../v3/data/data3-8-11.dat   8   5  24          11       4     0
../v3/data/data3-8-12.dat   8   5  24          11       4     0
../v3/data/data3-8-13.dat   8   5  24          12       4 0.044
../v3/data/data3-8-14.dat   8   5  24          12       4     0
../v3/data/data3-8-15.dat   8   5  24           9       4     0
../v3/data/data3-8-16.dat   8   5  24           8       4     0
../v3/data/data3-8-17.dat   8   5  24           8       4     0
../v3/data/data3-8-18.dat   8   5  24           9       4     0
../v3/data/data3-8-19.dat   8   5  24          12       4     0
../v3/data/data3-8-20.dat   8   5  24          11       4     0
../v3/data/data3-8-21.dat   8   5  24          10       4     0
../v3/data/data3-8-22.dat   8   5  24          10       4     0
../v3/data/data3-8-23.dat   8   5  24           9       4 0.004
../v3/data/data3-8-24.dat   8   5  24           9       4     0
../v3/data/data3-8-25.dat   8   5  24           9       4     0
../v3/data/data3-8-26.dat   8   5  24          16       4     0
../v3/data/data3-8-27.dat   8   5  24          10       4     0
../v3/data/data3-8-28.dat   8   5  24          11       4     0
../v3/data/data3-8-29.dat   8   5  24          13       4     0
../v3/data/data3-8-30.dat   8   5  24          11       4     0
../v3/data/data3-8-31.dat   8   5  24          12       4     0
../v3/data/data3-8-32.dat   8   5  24          12       4     0
../v3/data/data3-8-33.dat   8   5  24          11       4     0
../v3/data/data3-8-34.dat   8   5  24          10       4 0.016
../v3/data/data3-8-35.dat   8   5  24          14       4 0.004
../v3/data/data3-8-36.dat   8   5  24          10       4     0
../v3/data/data3-8-37.dat   8   5  24           9       4     0
../v3/data/data3-8-38.dat   8   5  24          14       4     0
../v3/data/data3-8-39.dat   8   5  24          10       4     0
../v3/data/data3-8-40.dat   8   5  24          10       4     0
